name,category,tent,locationIds,booths
"Rintoul’s Pools & Hot Tubs, Owen Sound",outdoor,,2B-30-31,2B-30|2B-31
"RMP Metal Works, Mount Forest",outdoor,,4B-26,4B-26
"Robert’s Equipment, Chesley",outdoor,,1A-01-04,1A-01|1A-02|1A-03|1A-04
Rogers Communications (Cell Tower),outdoor,,NORTH,NORTH
"RONA Doidge Kincardine, Kincardine",outdoor,,2A-36-38,2A-36|2A-37|2A-38
"Royal Homes, Wingham",outdoor,,2A-31-32,2A-31|2A-32
Canadian Propane Association,outdoor,,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Scatterbrain Creations by Paige & Mom,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Orillia,outdoor,,4A-13,4A-13
"Shiva Fashion Inc, Scarborough",outdoor,,4A-24,4A-24
"Shouldice Stone, Shallow Lake",outdoor,,2A-33,2A-33
"SMG Champion Sawmills, Oxford Mills",outdoor,,5A-35,5A-35
"Smyth Welding & Machine Shop Ltd., Auburn",outdoor,,1A-30-31,1A-30|1A-31
Souvenir Tent - IPM 2026,outdoor,,3A-36-38,3A-36|3A-37|3A-38
"Speedway Trailers, Cambridge",outdoor,,1B-09-12,1B-09|1B-10|1B-11|1B-12
"Sprucedale Agromart Ltd., Hanover",outdoor,,2B-01-02,2B-01|2B-02
"Starbright Industry Inc., Listowel",outdoor,,1A-08,1A-08
"StumpedIt, Clinton",outdoor,,5A-33,5A-33
"Surf & Turf Instant Shelters Inc, Smithville",outdoor,,2B-28,2B-28
Teeswater Concrete Farming for the Future,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Tent,outdoor,,1B-16-22,1B-16|1B-17|1B-18|1B-19|1B-20|1B-21|1B-22
"Teeswater Concrete Ltd, Teeswater",outdoor,,1B-32-34,1B-32|1B-33|1B-34
"Toromont Cat, Concord",outdoor,,1B-30-31,1B-30|1B-31
"Township of North Huron, Wingham",outdoor,,4B-01,4B-01
Treemendous Tree Sales & Transplanting,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Clinton,outdoor,,5A-32,5A-32
"United Rentals, Walkerton",outdoor,,2B-16-17,2B-16|2B-17
"University of Guelph, Guelph",outdoor,,3B-17-18,3B-17|3B-18
"Valard Construction, Vaughan",outdoor,,5A-39-42,5A-39|5A-40|5A-41|5A-42
Walker,outdoor,,3A-05,3A-05
Walkerton & District Hospital Foundation,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Walkerton,outdoor,,3B-06,3B-06
"Walkerton Toyota, Walkerton",outdoor,,5A-17-18,5A-17|5A-18
"Wallenstein Equipment Inc., Wallenstein",outdoor,,1B-01-04,1B-01|1B-02|1B-03|1B-04
"Wash Bay Products Inc, Mildmay",outdoor,,2A-08,2A-08
"Water and Wellness, Walkerton",outdoor,,4B-36-38,4B-36|4B-37|4B-38
"Weldesign Hardware Inc., Burgessville",outdoor,,2B-20,2B-20
"Weppler Farm Machinery Ltd., Ayton",outdoor,,1A-16,1A-16
Women’s House Serving Bruce and Grey,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
Kincardine,outdoor,,4B-06,4B-06
"Wonderfull Inc., Innisfil",outdoor,,2B-05,2B-05
"Work N Wear, Markham",outdoor,,2A-22-24,2A-22|2A-23|2A-24
"Xplore Inc., Markham",outdoor,,3B-03,3B-03
"Your Ultimate Structures Inc., Beachville",outdoor,,2B-09,2B-09
28 50 YEARS STRONG 50 YEARS STRONG,indoor,rural-living,4A-16-21|4B-17-22,4A-16|4A-17|4A-18|4A-19|4A-20|4A-21|4B-17|4B-18|4B-19|4B-20|4B-21|4B-22
BY THE CANADIAN PROPANE,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
ASSOCIATION (3B 39-44),indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Avenir Energy, Flesherton",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Canadian Propane Association, Ottawa",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
CarePartners - Rural Health Care,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Yours to Explore, Waterloo",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
"Chalmers Fuels, Palmerston",indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
Core Fuels Ltd. / Red Cap,indoor,rural-expo,3B-39-44,3B-39|3B-40|3B-41|3B-42|3B-43|3B-44
